tag,mode,target,draft,tp,K,F,N,alpha,phit,target_fits,draft_fits,target_step_ms,target_verify_ms,draft_step_ms,draft_total_ms,prespec_ms,e2e_ms,avg_tokens,avg_rounds,miss_rate,throughput_tok_s
RESULT,ar,Llama-3.1-8B,,1,0,0,128,0.0000,0.0000,1,1,20.4305,0.0000,0.0000,0.0000,0.0000,2606.1140,128.0000,128.0000,0.0000,49.1153
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,4,0,128,0.9000,0.0000,1,1,20.3137,18.9988,3.2285,12.9138,0.0000,994.7078,129.5333,31.2667,0.0000,130.2225
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,4,128,0.9000,0.3000,1,1,0.0000,18.7478,3.2370,12.9480,14.0268,888.4573,129.5333,31.2667,0.6962,145.7958
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,4,128,0.9000,0.5000,1,1,0.0000,18.7461,3.2332,12.9330,13.9674,801.6917,129.5333,31.2667,0.4829,161.5750
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,4,128,0.9000,0.7000,1,1,0.0000,18.7456,3.2361,12.9443,13.9993,718.9481,129.5333,31.2667,0.2783,180.1707
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,4,128,0.9000,0.8000,1,1,0.0000,18.7319,3.2441,12.9764,14.0643,679.4152,129.5333,31.2667,0.1823,190.6542
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,4,128,0.9000,0.8500,1,1,0.0000,18.7668,3.2338,12.9352,13.9846,660.8132,129.5333,31.2667,0.1343,196.0211
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,4,128,0.9000,0.9000,1,1,0.0000,18.7352,3.2442,12.9769,14.0194,635.4273,129.5333,31.2667,0.0746,203.8523
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,4,128,0.9000,0.9500,1,1,0.0000,18.7730,3.2447,12.9787,14.0055,620.2133,129.5333,31.2667,0.0373,208.8529
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,4,128,0.9000,1.0000,1,1,0.0000,18.7607,3.2383,12.9533,13.9873,606.2139,129.5333,31.2667,0.0000,213.6760
